date | value
2009-1-02|0
2009-01-05|0
2009-01-08|0
2009-01-11|0
2009-01-14|0
2009-01-17|0
2009-01-20|0
2009-01-23|0
2009-01-26|0
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2013-03-24|71.93
2013-03-27|88.8
2013-03-30|92.5
2013-04-03|117.34
2013-04-06|142.1
2013-04-09|186.96
2013-04-12|124.9
2013-04-15|100
2013-04-18|93.9
2001-42-42
2012-01-11 | 1001
2012-01-11 | -100
2011-01-32 | 1.5  
2011-13-01 | 1.5  
2011-02-29 | 50
2011-02-29 | 1.5 
2011-02-28 | 1.5  
2012-02-29 | 1.5  
2011-04-31 | 1.5  
2011-01-03 | 3.4028235e+38  
2011-01-03 | -3.4028235e+38  
2011-01-03 | 3.4028235e+39   
2011-01-03 | -3.4028235e+39  
2011-01-03 | abc  
2011-01-03 | 1.5abc   
2011-01-03 | 1.5.5  
2011-01-03 |  
 | 1.5  
2011-01-03 1.5  
2011-01-03 | 1.5 | extra  
0000-01-01 | 1
